Age,Monthly_Income,Customer_Type,Nationality_Cluster,Loyalty_Status,Dining_Frequency,Avg_Spend_AED,Order_Time,Day_Preference,Order_Channel,Group_Size,Distance_Category,Cuisine_Preference,Restaurant_Tier,Restaurant_Location,Price_Sensitivity,Offpeak_Willingness,Fairness_Perception,Discount_Importance,Discount_Motivation,Weather_Behaviour,Peak_Months,Experience_Rating,Challenges,Desired_Features,Demand_Level,Surge_Multiplier,Table_Occupancy_Pct,Base_Order_Value,Final_Order_Value,Discount_Percentage,Delivery_Distance_km,Est_Delivery_Time_min,Customer_Rating,App_Adoption
35-44,5000-10000,Family,South Asian,Loyalty program user,Once/week,98.08,Dinner,Weekdays,Dine-in,5+,3-7km,Fast Food,Mid-range,Mall,Not sensitive,Probably not,Very unfair,Moderately important,10%,Outdoor dining in pleasant weather,"Jan-Mar, Apr-Jun",2,Unpredictable pricing,"Table availability, Wait time estimate, Real-time pricing, Demand alerts",Medium,0.96,75.6,98.08,94.16,4.0,,,2,No
25-34,10001-20000,Student,African,Explorer,Rarely,87.86,Late Night,Both,Dine-in,2 people,<3km,Fast Food,Depends on occasion,Mall,Moderately sensitive,Probably yes,Somewhat fair,Very important,15%,No impact,"Jul-Sep, Jan-Mar, Apr-Jun",4,Crowded restaurants,Group dining deals,High,1.26,61.1,87.86,110.7,0.0,,,4,Yes
18-24,<5000,Family,East Asian,Loyal to 1-2,Once/month,65.01,Dinner,Weekends,Delivery App,3-4 people,3-7km,Arabic,Depends on occasion,Mall,Very sensitive,Definitely not,Very fair,Very important,20%,Switch to delivery in heat,Jan-Mar,5,"Long wait times, Limited discounts, Unpredictable pricing, High weekend prices","Personalised discounts, Group dining deals, Table availability",High,1.17,,65.01,76.06,0.0,3.3,22.0,5,Yes
25-34,5000-10000,Student,South Asian,Few regulars,2-3/month,74.17,Dinner,Weekdays,Dine-in,3-4 people,3-7km,Indian/Pakistani,Budget/Casual,JBR,Very sensitive,Definitely yes,Very unfair,Slightly important,>20%,No impact,"Oct-Dec, Jan-Mar, Apr-Jun",5,High weekend prices,Personalised discounts,Medium,0.97,58.8,74.17,71.94,3.0,,,5,Yes
18-24,20001-35000,Tourist,South Asian,Few regulars,Once/week,241.99,Late Night,Both,Takeaway,2 people,7-15km,Fast Food,Premium/Fine Dining,DIFC,Slightly sensitive,Definitely not,Very fair,Moderately important,15%,No impact,"Jan-Mar, Apr-Jun, Oct-Dec",4,"Limited discounts, High weekend prices, High delivery fees, Long wait times",Low-demand discounts,High,1.34,,241.99,324.27,0.0,13.1,56.0,4,No
18-24,5000-10000,Tourist,African,Explorer,2-3/month,39.95,Lunch,Both,Takeaway,2 people,7-15km,Fast Food,Budget/Casual,Business Bay,Very sensitive,Definitely yes,Very unfair,Very important,20%,No impact,Apr-Jun,5,"Limited discounts, Long wait times, Unpredictable pricing, Long delivery time","Wait time estimate, Demand alerts, Personalised discounts, Loyalty rewards",Medium,1.0,,39.95,39.95,0.0,12.5,57.0,5,Yes
35-44,10001-20000,Family,South Asian,Few regulars,2-3/month,125.61,Dinner,Both,Delivery App,5+,3-7km,Healthy/Vegan,Mid-range,Deira,Moderately sensitive,Definitely yes,Neutral,Very important,>20%,Switch to delivery in heat,Oct-Dec,2,"Long wait times, Hard to find tables, High delivery fees","Group dining deals, Table availability, Demand alerts, Personalised discounts",High,1.24,,125.61,155.76,0.0,3.7,23.0,2,No
18-24,5000-10000,Professional,African,Loyal to 1-2,Once/week,55.13,Dinner,Both,Delivery App,Alone,7-15km,Fast Food,Mid-range,DIFC,Moderately sensitive,Maybe,Very fair,Moderately important,15%,Outdoor dining in pleasant weather,"Oct-Dec, Jul-Sep",4,High delivery fees,"Personalised discounts, Group dining deals, Loyalty rewards",High,1.22,,55.13,67.26,0.0,11.5,47.0,4,Yes
18-24,<5000,Student,South Asian,Explorer,Once/month,43.17,Dinner,Both,Dine-in,Alone,3-7km,Indian/Pakistani,Depends on occasion,Downtown,Very sensitive,Probably yes,Very fair,Very important,>20%,Switch to delivery in heat,Oct-Dec,4,"Long wait times, High weekend prices, Hard to find tables, Limited discounts","Personalised discounts, Low-demand discounts, Loyalty rewards",High,1.23,74.4,43.17,53.1,0.0,,,4,Yes
35-44,10001-20000,Family,South Asian,Loyal to 1-2,Multiple/week,64.6,Late Night,Weekends,Dine-in,3-4 people,<3km,Indian/Pakistani,Budget/Casual,JBR,Moderately sensitive,Probably yes,Very unfair,Slightly important,20%,Outdoor dining in pleasant weather,Oct-Dec,5,"Limited discounts, Long delivery time","Wait time estimate, Demand alerts, Table availability",High,1.07,100.0,64.6,69.12,0.0,,,5,Yes
35-44,20001-35000,Family,Western Expat,Loyal to 1-2,Once/month,121.19,Late Night,Weekends,Dine-in,Alone,7-15km,Asian,Mid-range,DIFC,Moderately sensitive,Maybe,Somewhat fair,Moderately important,15%,No impact,Jan-Mar,3,"Unpredictable pricing, Crowded restaurants","Personalised discounts, Loyalty rewards, Group dining deals, Real-time pricing",High,1.19,84.9,121.19,144.22,0.0,,,3,Yes
25-34,10001-20000,Professional,South Asian,Few regulars,Multiple/week,175.37,Dinner,Weekends,Dine-in,Alone,<3km,Indian/Pakistani,Mid-range,Downtown,Not sensitive,Definitely yes,Neutral,Very important,10%,No impact,"Apr-Jun, Jan-Mar",2,"High weekend prices, Hard to find tables, High delivery fees, Long delivery time","Real-time pricing, Wait time estimate, Group dining deals",High,1.17,94.2,175.37,205.18,0.0,,,2,Yes
25-34,20001-35000,Professional,Arab,Few regulars,Multiple/week,119.85,Dinner,Both,Delivery App,2 people,7-15km,Arabic,Mid-range,Business Bay,Not sensitive,Definitely not,Very fair,Moderately important,10%,Outdoor dining in pleasant weather,"Jul-Sep, Oct-Dec",2,"Long wait times, High weekend prices",Low-demand discounts,High,1.19,,119.85,142.62,0.0,13.1,46.0,2,Yes
35-44,20001-35000,Tourist,South Asian,Few regulars,Multiple/week,350.46,Lunch,Weekdays,Delivery App,3-4 people,3-7km,Asian,Premium/Fine Dining,Deira,Moderately sensitive,Definitely yes,Neutral,Moderately important,15%,No impact,"Apr-Jun, Oct-Dec, Jan-Mar",5,"Long wait times, Unpredictable pricing, Long delivery time","Group dining deals, Wait time estimate",Medium,1.02,,350.46,357.47,0.0,6.0,29.0,5,Yes
25-34,<5000,Tourist,South Asian,Explorer,Once/week,39.21,Lunch,Both,Dine-in,2 people,3-7km,Indian/Pakistani,Budget/Casual,Deira,Not sensitive,Definitely not,Neutral,Moderately important,15%,Switch to delivery in heat,"Apr-Jun, Jan-Mar",4,"High weekend prices, Unpredictable pricing, Hard to find tables",Low-demand discounts,Medium,0.96,52.3,39.21,37.64,4.0,,,4,No
18-24,5000-10000,Student,Arab,Few regulars,Once/week,80.44,Dinner,Both,Dine-in,3-4 people,<3km,Arabic,Mid-range,DIFC,Slightly sensitive,Definitely yes,Neutral,Slightly important,5%,No impact,"Oct-Dec, Apr-Jun, Jul-Sep",4,"Long wait times, Crowded restaurants, Hard to find tables","Personalised discounts, Real-time pricing, Wait time estimate, Table availability",High,1.21,100.0,80.44,97.33,0.0,,,4,Yes
45-54,5000-10000,Tourist,Arab,Explorer,Once/week,188.9,Lunch,Both,Delivery App,5+,<3km,Western,Premium/Fine Dining,Business Bay,Moderately sensitive,Probably not,Very unfair,Extremely important,15%,Switch to delivery in heat,"Jan-Mar, Oct-Dec",5,Limited discounts,"Loyalty rewards, Wait time estimate",Medium,1.17,,188.9,221.01,0.0,1.5,17.0,5,Yes
45-54,20001-35000,Professional,South Asian,Few regulars,Once/week,136.22,Dinner,Weekends,Dine-in,Alone,3-7km,Asian,Mid-range,DIFC,Not sensitive,Probably not,Unfair,Moderately important,10%,No impact,"Jul-Sep, Oct-Dec",5,"High weekend prices, Hard to find tables, High delivery fees, Unpredictable pricing","Real-time pricing, Low-demand discounts",High,1.11,89.4,136.22,151.2,0.0,,,5,No
25-34,>35000,Professional,South Asian,Loyal to 1-2,Once/week,447.8,Lunch,Both,Restaurant App,3-4 people,<3km,Indian/Pakistani,Premium/Fine Dining,Marina,Moderately sensitive,Probably yes,Unfair,Slightly important,20%,Dine-in more during heat,"Jul-Sep, Apr-Jun, Jan-Mar",4,"Long delivery time, Long wait times","Wait time estimate, Demand alerts",Medium,1.11,,447.8,497.06,0.0,2.2,22.0,4,Yes
18-24,20001-35000,Tourist,South Asian,Few regulars,Once/month,136.49,Lunch,Both,Restaurant App,Alone,3-7km,Indian/Pakistani,Depends on occasion,Mall,Not sensitive,Definitely not,Unfair,Moderately important,10%,Outdoor dining in pleasant weather,"Oct-Dec, Jan-Mar, Apr-Jun",2,"High weekend prices, Hard to find tables, Crowded restaurants","Table availability, Real-time pricing, Demand alerts, Personalised discounts",Medium,0.95,,136.49,129.67,5.0,5.9,36.0,2,Yes
55+,10001-20000,Tourist,Arab,Explorer,Once/month,108.74,Late Night,Weekdays,Restaurant App,2 people,<3km,Arabic,Depends on occasion,Business Bay,Very sensitive,Definitely yes,Unfair,Very important,20%,Dine-in more during heat,Apr-Jun,4,Unpredictable pricing,"Group dining deals, Demand alerts, Loyalty rewards, Wait time estimate",Medium,1.04,,108.74,113.09,0.0,1.9,25.0,4,Yes
18-24,5000-10000,Professional,South Asian,Loyal to 1-2,Once/week,50.77,Dinner,Weekends,Delivery App,2 people,3-7km,Indian/Pakistani,Budget/Casual,Downtown,Very sensitive,Maybe,Very fair,Extremely important,20%,No impact,"Oct-Dec, Jul-Sep, Apr-Jun",3,"Hard to find tables, High delivery fees","Table availability, Personalised discounts, Demand alerts, Loyalty rewards",High,1.06,,50.77,53.82,0.0,3.3,24.0,3,Yes
45-54,20001-35000,Family,Western Expat,Loyal to 1-2,Once/week,221.73,Dinner,Weekdays,Takeaway,5+,<3km,Healthy/Vegan,Mid-range,Business Bay,Moderately sensitive,Probably yes,Unfair,Extremely important,20%,Switch to delivery in heat,"Oct-Dec, Jul-Sep, Apr-Jun",5,"Unpredictable pricing, High delivery fees, Long wait times","Low-demand discounts, Real-time pricing",Medium,1.01,,221.73,223.95,0.0,2.5,21.0,5,Yes
35-44,10001-20000,Family,South Asian,Few regulars,Once/week,93.34,Late Night,Both,Dine-in,2 people,3-7km,Asian,Depends on occasion,Business Bay,Very sensitive,Definitely yes,Somewhat fair,Extremely important,>20%,Switch to delivery in heat,Jan-Mar,2,"Unpredictable pricing, High weekend prices, Hard to find tables","Loyalty rewards, Personalised discounts",High,1.2,53.4,93.34,112.01,0.0,,,2,Yes
55+,10001-20000,Tourist,South Asian,Explorer,2-3/month,91.26,Lunch,Both,Dine-in,2 people,>15km,Indian/Pakistani,Mid-range,DIFC,Moderately sensitive,Maybe,Unfair,Extremely important,15%,Switch to delivery in heat,Apr-Jun,4,"High delivery fees, Long wait times, Crowded restaurants","Real-time pricing, Group dining deals, Loyalty rewards",Medium,0.97,54.6,91.26,88.52,3.0,,,4,No
18-24,5000-10000,Professional,Arab,Loyal to 1-2,Multiple/week,48.17,Late Night,Both,Dine-in,Alone,7-15km,Arabic,Mid-range,Deira,Moderately sensitive,Definitely yes,Very fair,Moderately important,15%,No impact,Apr-Jun,4,"High weekend prices, Crowded restaurants, Unpredictable pricing, Hard to find tables","Group dining deals, Demand alerts, Low-demand discounts, Personalised discounts",Medium,1.0,63.9,48.17,48.17,0.0,,,4,Yes
25-34,10001-20000,Tourist,Western Expat,Explorer,2-3/month,132.42,Late Night,Weekends,Dine-in,Alone,3-7km,Fast Food,Premium/Fine Dining,JBR,Slightly sensitive,Probably not,Somewhat fair,Moderately important,15%,Switch to delivery in heat,"Apr-Jun, Oct-Dec, Jan-Mar",5,"Unpredictable pricing, Long delivery time, High delivery fees",Loyalty rewards,High,1.23,70.5,132.42,162.88,0.0,,,5,Yes
55+,<5000,Professional,South Asian,Few regulars,2-3/month,62.51,Lunch,Both,Takeaway,3-4 people,3-7km,Indian/Pakistani,Mid-range,JBR,Slightly sensitive,Definitely not,Unfair,Moderately important,15%,Dine-in more during heat,Jul-Sep,3,"Unpredictable pricing, Limited discounts",Demand alerts,Medium,1.04,,62.51,65.01,0.0,6.7,31.0,3,Yes
25-34,5000-10000,Family,South Asian,Loyalty program user,Rarely,78.48,Late Night,Weekends,Delivery App,5+,<3km,Asian,Mid-range,Deira,Very sensitive,Probably yes,Somewhat fair,Moderately important,15%,Dine-in more during heat,"Jan-Mar, Oct-Dec, Jul-Sep",4,Hard to find tables,"Demand alerts, Wait time estimate, Low-demand discounts",High,1.11,,78.48,87.11,0.0,2.5,27.0,4,Yes
18-24,<5000,Student,Arab,Explorer,Once/month,43.47,Lunch,Both,Takeaway,5+,7-15km,Arabic,Budget/Casual,Mall,Very sensitive,Definitely yes,Somewhat fair,Very important,15%,Switch to delivery in heat,"Oct-Dec, Apr-Jun",1,"High weekend prices, Hard to find tables, Long wait times, Unpredictable pricing",Table availability,Medium,1.04,,43.47,45.21,0.0,7.5,42.0,1,No
18-24,5000-10000,Student,South Asian,Loyal to 1-2,Once/month,99.82,Late Night,Both,Delivery App,3-4 people,3-7km,Indian/Pakistani,Depends on occasion,Marina,Very sensitive,Probably yes,Somewhat fair,Moderately important,15%,Outdoor dining in pleasant weather,Oct-Dec,5,Long wait times,Group dining deals,High,1.24,,99.82,123.78,0.0,3.7,26.0,5,Yes
45-54,>35000,Professional,Western Expat,Explorer,Multiple/week,546.91,Lunch,Weekends,Delivery App,5+,<3km,Western,Premium/Fine Dining,Downtown,Moderately sensitive,Probably not,Very unfair,Not important,>20%,Switch to delivery in heat,Jan-Mar,4,"Crowded restaurants, Long delivery time","Low-demand discounts, Loyalty rewards",Medium,1.07,,546.91,585.19,0.0,1.7,27.0,4,Yes
25-34,10001-20000,Professional,Arab,Few regulars,Once/month,132.73,Late Night,Weekdays,Delivery App,Alone,<3km,Healthy/Vegan,Premium/Fine Dining,DIFC,Slightly sensitive,Definitely not,Very fair,Not important,20%,Outdoor dining in pleasant weather,Jan-Mar,4,"Long wait times, Crowded restaurants",Table availability,Medium,1.0,,132.73,132.73,0.0,2.0,21.0,4,Yes
25-34,5000-10000,Tourist,Arab,Explorer,Once/week,68.68,Dinner,Weekends,Dine-in,5+,<3km,Arabic,Budget/Casual,Deira,Very sensitive,Probably yes,Neutral,Extremely important,10%,Switch to delivery in heat,Jan-Mar,3,"Limited discounts, Long wait times, Long delivery time","Loyalty rewards, Low-demand discounts",High,1.11,90.1,68.68,76.23,0.0,,,3,Yes
18-24,<5000,Student,Arab,Loyal to 1-2,Once/month,26.86,Lunch,Weekdays,Delivery App,Alone,<3km,Arabic,Budget/Casual,Deira,Moderately sensitive,Probably not,Very fair,Very important,10%,No impact,"Oct-Dec, Apr-Jun, Jul-Sep",2,"Hard to find tables, High weekend prices, Crowded restaurants","Real-time pricing, Personalised discounts",Medium,0.93,,26.86,24.98,7.0,1.6,19.0,2,Yes
18-24,5000-10000,Student,Arab,Explorer,Once/week,42.72,Dinner,Both,Delivery App,Alone,3-7km,Western,Budget/Casual,Deira,Moderately sensitive,Definitely yes,Very fair,Very important,10%,Dine-in more during heat,"Jan-Mar, Oct-Dec, Apr-Jun",4,"Long delivery time, Unpredictable pricing",Personalised discounts,High,1.2,,42.72,51.26,0.0,5.2,28.0,4,Yes
25-34,20001-35000,Professional,South Asian,Loyal to 1-2,Multiple/week,128.26,Late Night,Both,Takeaway,Alone,3-7km,Arabic,Depends on occasion,Downtown,Slightly sensitive,Definitely yes,Somewhat fair,Moderately important,10%,No impact,Oct-Dec,3,High weekend prices,Personalised discounts,High,1.11,,128.26,142.37,0.0,4.5,29.0,3,No
25-34,>35000,Professional,South Asian,Few regulars,2-3/month,193.53,Dinner,Weekends,Takeaway,Alone,3-7km,Arabic,Mid-range,Downtown,Slightly sensitive,Definitely yes,Very fair,Moderately important,15%,Switch to delivery in heat,"Oct-Dec, Jul-Sep, Jan-Mar",5,"High delivery fees, Long delivery time, Long wait times, Crowded restaurants","Wait time estimate, Demand alerts, Real-time pricing",High,1.25,,193.53,241.91,0.0,5.8,37.0,5,No
45-54,>35000,Professional,Western Expat,Explorer,Multiple/week,282.81,Lunch,Weekdays,Takeaway,2 people,3-7km,Western,Depends on occasion,Business Bay,Not sensitive,Probably yes,Unfair,Slightly important,10%,Switch to delivery in heat,Oct-Dec,4,"High delivery fees, High weekend prices, Unpredictable pricing, Hard to find tables","Real-time pricing, Wait time estimate, Table availability",Medium,1.07,,282.81,302.61,0.0,6.1,20.0,4,No
25-34,>35000,Professional,South Asian,Loyal to 1-2,Once/month,313.74,Lunch,Both,Dine-in,3-4 people,<3km,Arabic,Depends on occasion,DIFC,Slightly sensitive,Probably not,Somewhat fair,Moderately important,10%,Switch to delivery in heat,"Oct-Dec, Jan-Mar, Apr-Jun",4,"Hard to find tables, Crowded restaurants, Long wait times, High delivery fees","Low-demand discounts, Demand alerts",Medium,1.13,48.2,313.74,354.53,0.0,,,4,Yes
18-24,<5000,Student,South Asian,Loyal to 1-2,Once/week,37.32,Breakfast,Weekends,Delivery App,Alone,3-7km,Indian/Pakistani,Mid-range,Deira,Very sensitive,Probably not,Somewhat fair,Moderately important,20%,Switch to delivery in heat,"Apr-Jun, Oct-Dec, Jan-Mar",5,Long wait times,"Demand alerts, Low-demand discounts",Medium,0.97,,37.32,36.2,3.0,3.1,22.0,5,Yes
18-24,<5000,Professional,Western Expat,Few regulars,Multiple/week,44.96,Late Night,Weekends,Dine-in,2 people,7-15km,Arabic,Mid-range,Deira,Very sensitive,Definitely not,Somewhat fair,Extremely important,>20%,Outdoor dining in pleasant weather,"Apr-Jun, Jan-Mar",4,"High delivery fees, Limited discounts, Unpredictable pricing, Crowded restaurants",Demand alerts,High,1.24,73.6,44.96,55.75,0.0,,,4,Yes
25-34,<5000,Tourist,Arab,Loyalty program user,Multiple/week,28.5,Lunch,Weekends,Delivery App,2 people,3-7km,Arabic,Mid-range,Deira,Very sensitive,Definitely yes,Very unfair,Moderately important,20%,Switch to delivery in heat,"Jan-Mar, Oct-Dec",4,"Unpredictable pricing, Hard to find tables","Low-demand discounts, Group dining deals, Loyalty rewards, Wait time estimate",Medium,0.94,,28.5,26.79,6.0,6.3,29.0,4,Yes
18-24,10001-20000,Student,South Asian,Explorer,Once/month,42.64,Late Night,Weekends,Delivery App,3-4 people,7-15km,Indian/Pakistani,Budget/Casual,Business Bay,Moderately sensitive,Probably yes,Neutral,Very important,5%,No impact,"Jan-Mar, Apr-Jun",4,"High delivery fees, Limited discounts, Long delivery time","Real-time pricing, Group dining deals",High,1.08,,42.64,46.05,0.0,12.9,47.0,4,Yes
25-34,5000-10000,Professional,South Asian,Loyal to 1-2,Once/month,41.21,Dinner,Both,Delivery App,Alone,<3km,Indian/Pakistani,Budget/Casual,DIFC,Moderately sensitive,Definitely yes,Somewhat fair,Extremely important,15%,Outdoor dining in pleasant weather,Jul-Sep,4,"Hard to find tables, Crowded restaurants, Long delivery time, High weekend prices","Wait time estimate, Table availability, Demand alerts, Group dining deals",Medium,0.93,,41.21,38.33,7.0,2.6,19.0,4,Yes
18-24,10001-20000,Student,African,Few regulars,2-3/month,86.72,Lunch,Both,Takeaway,Alone,<3km,Indian/Pakistani,Mid-range,Downtown,Slightly sensitive,Probably not,Unfair,Slightly important,10%,Dine-in more during heat,"Jan-Mar, Oct-Dec",3,"Long delivery time, Long wait times","Personalised discounts, Wait time estimate, Demand alerts",Medium,1.01,,86.72,87.59,0.0,1.3,19.0,3,No
18-24,5000-10000,Family,East Asian,Few regulars,2-3/month,104.18,Dinner,Both,Delivery App,5+,<3km,Asian,Mid-range,Deira,Moderately sensitive,Maybe,Somewhat fair,Moderately important,>20%,Switch to delivery in heat,Jan-Mar,5,"High delivery fees, Crowded restaurants, Limited discounts","Group dining deals, Low-demand discounts, Real-time pricing",High,1.27,,104.18,132.31,0.0,1.6,21.0,5,Yes
35-44,>35000,Tourist,Arab,Explorer,Multiple/week,298.14,Lunch,Both,Dine-in,Alone,3-7km,Asian,Premium/Fine Dining,Marina,Not sensitive,Probably yes,Unfair,Not important,10%,Dine-in more during heat,"Jan-Mar, Oct-Dec, Jul-Sep",3,Limited discounts,"Demand alerts, Personalised discounts, Wait time estimate, Low-demand discounts",Medium,1.13,71.0,298.14,336.9,0.0,,,3,No
25-34,10001-20000,Professional,Arab,Loyalty program user,Once/month,165.04,Late Night,Weekdays,Takeaway,5+,3-7km,Indian/Pakistani,Depends on occasion,Deira,Not sensitive,Probably not,Unfair,Slightly important,10%,Outdoor dining in pleasant weather,"Jan-Mar, Oct-Dec, Apr-Jun",4,"High delivery fees, Hard to find tables, Crowded restaurants, Unpredictable pricing","Demand alerts, Table availability, Group dining deals, Personalised discounts",Medium,1.01,,165.04,166.69,0.0,4.4,28.0,4,No
25-34,>35000,Professional,Western Expat,Loyalty program user,Multiple/week,278.58,Late Night,Weekends,Takeaway,Alone,7-15km,Asian,Premium/Fine Dining,JBR,Slightly sensitive,Maybe,Neutral,Moderately important,15%,Dine-in more during heat,"Oct-Dec, Jan-Mar",3,Long delivery time,Group dining deals,High,1.22,,278.58,339.87,0.0,7.5,39.0,3,Yes
25-34,10001-20000,Professional,South Asian,Few regulars,Multiple/week,90.18,Dinner,Both,Dine-in,Alone,3-7km,Asian,Depends on occasion,Deira,Moderately sensitive,Definitely not,Unfair,Very important,15%,Switch to delivery in heat,Oct-Dec,4,"Long delivery time, High delivery fees","Real-time pricing, Demand alerts, Personalised discounts",High,1.2,100.0,90.18,108.22,0.0,,,4,Yes
